id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2008,Bangalore,2008-03-20,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,normal,0,Delhi Capitals,50,0,UT Yadav,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
2,2008,Jaipur,2008-03-21,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,4,AT Rayudu,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
3,2008,Ahmedabad,2008-03-22,Punjab Kings,Rajasthan Royals,Punjab Kings,bat,normal,0,Punjab Kings,0,2,SP Narine,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
4,2008,Ahmedabad,2008-03-23,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,field,normal,0,Rajasthan Royals,67,0,HH Pandya,"Narendra Modi Stadium, Ahmedabad",Umpire A,Umpire B
5,2008,Mohali,2008-03-24,Punjab Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,3,Z Khan,"PCA Stadium, Mohali",Umpire A,Umpire B
6,2008,Bangalore,2008-03-25,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,normal,0,Mumbai Indians,0,2,AT Rayudu,"M Chinnaswamy Stadium, Bangalore",Umpire A,Umpire B
7,2008,Mumbai,2008-03-26,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,8,KA Pollard,"Wankhede Stadium, Mumbai",Umpire A,Umpire B
8,2008,Kolkata,2008-03-27,Delhi Capitals,Punjab Kings,Delhi Capitals,field,normal,0,Punjab Kings,0,3,T Natarajan,"Eden Gardens, Kolkata",Umpire A,Umpire B
9,2008,Delhi,2008-03-28,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,normal,0,Delhi Capitals,27,0,Mohammed Shami,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
10,2008,Jaipur,2008-03-29,Rajasthan Royals,Delhi Capitals,Delhi Capitals,bat,normal,0,Delhi Capitals,10,0,Z Khan,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
11,2008,Delhi,2008-03-30,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,48,0,MM Sharma,"Arun Jaitley Stadium, Delhi",Umpire A,Umpire B
12,2008,Mohali,2008-03-31,Chennai Super Kings,Punjab Kings,Chennai Super Kings,bat,normal,0,Punjab Kings,84,0,AM Rahane,"PCA Stadium, Mohali",Umpire A,Umpire B
13,2008,Chennai,2008-04-01,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,57,0,MS Dhoni,"MA Chidambaram Stadium, Chennai",Umpire A,Umpire B
14,2008,Jaipur,2008-04-02,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Punjab Kings,0,9,CH Gayle,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
15,2008,Hyderabad,2008-04-03,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,87,0,T Natarajan,"Rajiv Gandhi Intl Cricket Stadium, Hyderabad",Umpire A,Umpire B
16,2008,Jaipur,2008-04-04,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,no result,0,,0,0,,"Sawai Mansingh Stadium, Jaipur",Umpire A,Umpire B
